Name,Type,ExptConc,TargetRT,TargetResponse,CalcConc,Accuracy,ResponseRatio,TargetRatio1,TargetRatio2,IntStdRT,IntStdResponse,IntStdRatio1,IntStdRatio2
0.1 ppb cal std,Cal,0.1,1.232383333,18.26907266,2.576045316,2576.045316,0.039994936,98.46147255,93.15173534,1.242566667,456.7846502,102.8824342,88.96562767
0.5 ppb cal std,Cal,0.5,1.232383333,97.70572575,2.815263673,563.0527346,0.144093461,100.7487404,86.66129155,1.242566667,678.0718922,97.33993306,89.71311097
1.0 ppb cal std,Cal,1,1.232383333,228.6562916,3.228158529,322.8158529,0.323769244,84.93657669,73.80120859,1.242566667,706.2322807,99.51070806,93.10033764
2.5 ppb cal std,Cal,2.5,1.232383333,399.4257087,3.971343116,158.8537246,0.647174272,90.7390473,81.79760951,1.242566667,617.1841585,98.08821077,83.05372294
5.0 ppb cal std,Cal,5,1.232383333,974.0756884,6.087706098,121.754122,1.568133133,90.31648447,83.61676823,1.242566667,621.1689991,101.5169473,88.90114117
Sample 1,Sample,,1.232383333,2459.479755,20.72337658,,7.937007715,89.18101423,80.40409131,1.242566667,309.8749356,102.8557907,89.43530125
Sample 2,Sample,,1.232383333,5779.227869,46.89352492,,19.32523846,89.88275947,80.59274515,1.242566667,299.0507921,103.6362666,90.87699408
Sample 3,Sample,,1.232383333,3777.687213,34.46508643,,13.9168654,87.32904427,79.96067777,1.242566667,271.4467018,111.0925072,88.63077592
Sample 4,Sample,,1.232383333,31969.75615,203.4360139,,87.44644143,91.1936184,81.34910206,1.242566667,365.59242,102.1849777,88.44968588
Sample 5,Sample,,1.232383333,1370.029303,11.73717588,,4.026562661,89.25107686,78.60155321,1.242566667,340.2478537,96.29806452,83.4205115
Sample 6,Sample,,1.232383333,591.6593057,9.113508889,,2.884844827,95.86006525,81.7716737,1.242566667,205.0922462,99.06941668,88.70444636
Sample 7,Sample,,1.232383333,759.177603,10.03362297,,3.28524269,90.71632721,81.09160771,1.242566667,231.0872208,104.8338181,89.05748243
Sample 8,Sample,,1.232383333,1270.236819,19.07736096,,7.220725734,93.0281867,82.47414038,1.242566667,175.9153949,104.1427566,94.09852845
Sample 9,Sample,,1.232383333,1314.139028,15.43196385,,5.634390691,94.48214522,86.03166206,1.242566667,233.23534,98.99606934,85.55216525
Sample 10,Sample,,1.232383333,1318.964238,12.80204243,,4.489951172,89.33520403,78.63597265,1.242566667,293.7591495,99.985253,81.48806079
Sample 11,Sample,,1.232383333,20858.56276,157.319497,,67.37832684,89.60770984,80.83676678,1.242566667,309.5737716,100.5077756,92.50096149
Sample 12,Sample,,1.232383333,7322.966261,54.24982964,,22.52641617,89.58268869,82.34603405,1.2222,325.0835022,101.6632319,90.44278719
Sample 13,Sample,,1.232383333,20745.12785,204.7465498,,88.01673567,91.75274198,81.03725337,1.242566667,235.6952651,104.8863173,89.10805975
Sample 14,Sample,,1.232383333,13161.32192,101.4456648,,43.06420811,89.06065187,80.92876619,1.242566667,305.6208972,102.6178619,84.91135476
Sample 15,Sample,,1.232383333,2482.016154,20.22244736,,7.7190228,91.09030726,80.63697829,1.242566667,321.5453845,102.4670615,90.00030512
Sample 16,Sample,,1.232383333,2111.133407,20.11232142,,7.671100275,87.22304538,80.46052591,1.242566667,275.2060762,104.4276392,96.60670111
Sample 17,Sample,,1.232383333,1012.295376,9.357272897,,2.990921443,90.54130004,79.04333057,1.242566667,338.4560226,95.91570989,88.21948171
Sample 18,Sample,,1.232383333,2016.094291,15.073222,,5.478280189,92.29942324,81.544256,1.242566667,368.015914,97.76358997,84.04238616
Sample 19,Sample,,1.232383333,269.8757166,27.55431626,,10.90956699,85.34260616,73.24914416,1.242566667,24.73752778,100.550626,111.0947065
Sample 20,Sample,,1.232383333,1087.145111,49.52638303,,20.47095592,86.60005338,84.10495258,1.242566667,53.1067096,74.92958418,81.83770742
Sample 21,Sample,,1.232383333,3789.866009,27.51744289,,10.89352114,91.13533957,80.55563816,1.242566667,347.9009185,93.6536201,80.7965787
Sample 22,Sample,,1.232383333,2722.415854,28.61070282,,11.36926534,88.71951337,80.10270042,1.242566667,239.4539816,102.7387404,95.69325268
Sample 23,Sample,,1.232383333,3920.617462,46.27856658,,19.05763251,93.11733295,82.78243846,1.242566667,205.7242661,88.14882919,79.74414839
Sample 24,Sample,,1.232383333,1103.729955,16.72939139,,6.198980694,89.83493883,78.71690866,1.242583333,178.0502327,102.7472804,86.80136531
Sample 25,Sample,,1.232383333,8317.42476,64.37513304,,26.93255442,92.47528334,81.35145714,1.242566667,308.824207,104.0936605,93.58423286
5.0 ppb cal std rep,Cal,5,1.232383333,980.5934196,6.125330143,122.5066029,1.584505654,88.85625067,80.20119709,1.242566667,618.863945,102.0832398,85.8372559
Sample 26,Sample,,1.232383333,1196.807605,11.08084632,,3.740953565,91.94962739,82.04078308,1.242566667,319.9204653,100.9483955,86.87464995
Sample 27,Lab Blank,,0.4991,0,0,,0,,,1.242566667,458.4034674,97.17031981,86.43303767
Sample 28,Lab Blank,,1.293483333,0,0,,0,,,1.242566667,445.2008118,102.2086868,82.17214678
Sample 29,Lab Blank,,1.25275,0,0,,0,,,1.242566667,422.0614065,104.7369619,91.0653745
Sample 30,Lab Blank,,1.232383333,3.51883528,2.502437219,,0.007963555,128.5020535,115.6746969,1.242566667,441.8674165,98.38017405,87.52144429
Sample 31,Lab Blank,,1.232383333,2.933891876,2.4982316,,0.006133433,96.00282604,138.9650606,1.242566667,478.3441547,98.32415748,91.82957073
Sample 32,Sample,,1.232383333,4399.589941,30.33956441,,12.12159867,89.16070747,81.33183255,1.242566667,362.9545955,99.91146219,91.76036115
Sample 33,Sample,,1.232383333,925.3359803,8.474321194,,2.606695202,87.90746999,81.54146879,1.242566667,354.9843417,101.328941,85.72711225
Sample 34,Field Blank,,1.232383333,10.2912052,2.484696945,,0.000243677,140.6554453,115.485581,1.242566667,42232.89945,100.0186826,89.47653067
Sample 35,Field Blank,,0.947216667,0.347454895,2.485954624,,0.000790971,126.0341762,302.4954959,1.242566667,439.2766729,106.0125563,99.80572352
Sample 36,Sample,,1.212016667,50.91240717,2.487005612,,0.001248319,70.33441329,83.10162345,1.242566667,40784.76297,100.7636061,88.98287327
Sample 37,Sample,,1.232383333,0.88721733,2.488327875,,0.001823717,195.0807379,176.701877,1.242566667,486.4884882,99.86291343,88.30979563
Sample 38,Sample,,1.232383333,3831.835005,2.694494553,,0.091539437,91.87610115,82.52273062,1.242566667,41859.93628,101.1969937,89.41728595
Sample 39,Sample,,1.25275,47.76992293,2.697651494,,0.092913215,83.72073238,73.12788754,1.242566667,514.1348623,96.24135773,86.07662968
Sample 40,Sample,,1.232383333,229.9526038,3.963668774,,0.643834697,85.06331191,79.88869395,1.242566667,357.1609373,104.5025252,91.15875085
Sample 41,Sample,,1.232383333,78.51123018,2.951636428,,0.20343758,84.11130452,82.96358305,1.242566667,385.9229452,105.5337044,92.48791972
Sample 42,Sample,,1.232383333,3877.322348,28.78098902,,11.44336727,93.56630748,81.91686649,1.242566667,338.8270476,100.2619451,88.32674111
Sample 43,Field Blank,,1.212016667,32.09645136,2.655111811,,0.074401599,86.93928626,87.01128067,1.242566667,431.3946435,103.3780811,90.67978348
Sample 44,Sample,,1.130533333,1.393253241,3.952605523,,0.639020401,142.6243803,274.0726571,1.05925,2.180295401,,
10 ppb cal std,Cal,10,1.25275,1786.295625,9.723519569,97.23519569,3.150297751,89.41437784,80.9254001,1.242566667,567.0243786,101.2400166,92.46869047
25 ppb cal std,Cal,25,1.25275,4177.059253,20.74279043,82.97116172,7.945455868,87.84236368,81.22932628,1.242566667,525.7167522,95.34349525,89.98325033
50 ppb cal std,Cal,50,1.25275,11863.52134,42.94245212,85.88490424,17.60588524,88.80250199,81.83724963,1.242566667,673.8383884,101.6802189,83.5156786
500 ppb cal std,Cal,500,1.25275,135227.0606,500.887391,100.1774782,216.8857122,89.54188021,82.70998442,1.262933333,623.4945548,105.301141,87.96257463
5000 ppb cal std,Cal,5000,1.232383333,893525.8504,4932.052066,98.64104131,2145.156242,90.85003065,80.62060276,1.242566667,416.5318279,101.2071485,91.86045664
